原文: 第二章  见到幽魂  positive_prob: 0.481113  confidence: 0.622259  negative_prob: 0.518887  sentiment: 1.000000  
 原文:     1  positive_prob: 0.458396  confidence: 0.167930  negative_prob: 0.541604  sentiment: 1.000000  
 原文:     长井清美穿着黄色套装在等人。这种黄色容易让人联想起柠檬，是清美最喜欢的。  positive_prob: 0.877424  confidence: 0.727609  negative_prob: 0.122576  sentiment: 2.000000  
 原文:     咖啡店很大，人也很多，不过幸亏清美穿着这身明黄色，细谷忠夫才从人群中很快找到了她。  positive_prob: 0.966947  confidence: 0.926550  negative_prob: 0.033053  sentiment: 2.000000  
 原文:     “不好意思，刚要出来，科长突然交待了一个紧急任务。”细谷做着打自己脸的动作，在清美对面坐了下来。他们约定的时可是7点，现在细谷已经迟到了近20分钟。  positive_prob: 0.253635  confidence: 0.436367  negative_prob: 0.746365  sentiment: 0.000000  
 原文:     清美明显不高兴了，嘴唇撅了起来。  positive_prob: 0.231146  confidence: 0.486343  negative_prob: 0.768854  sentiment: 0.000000  
 原文:     “你要是再晚来5分钟，我就回去了。”  positive_prob: 0.149254  confidence: 0.668325  negative_prob: 0.850746  sentiment: 0.000000  
 原文:     “我不是向你道过歉了吗——噢，给我来杯咖啡。”细谷对服务员说。  positive_prob: 0.462026  confidence: 0.240523  negative_prob: 0.537974  sentiment: 1.000000  
 原文:     他心里想着：你总是迟到半个小时，我偶尔迟到一次，你就这样。不过这种心里话他是不敢说出来的，因为他清楚，如果这话说出来，清美马上会转身走掉。  positive_prob: 0.069160  confidence: 0.846311  negative_prob: 0.930840  sentiment: 0.000000  
 原文:     “人家肚子都饿瘪了。”  positive_prob: 0.289970  confidence: 0.355623  negative_prob: 0.710030  sentiment: 0.000000  
 原文:     “知道了，你喜欢什么尽管点，我请客，就当给你赔罪了。”  positive_prob: 0.549394  confidence: 0.012118  negative_prob: 0.450606  sentiment: 1.000000  
 原文:     “只要是我喜欢的都行？当真？”清美的表情发生了些许变化。  positive_prob: 0.883510  confidence: 0.741133  negative_prob: 0.116490  sentiment: 2.000000  
 原文:     “嗯。真的。”  positive_prob: 0.439933  confidence: 0.022372  negative_prob: 0.560067  sentiment: 0.000000  
 原文:     “那好，我有一个非常想去的地方——”  positive_prob: 0.665341  confidence: 0.256313  negative_prob: 0.334659  sentiment: 2.000000  
 原文:     清美打开Gucci牌的提包，取出一张像是从杂志上剪下来的片断，这是关于一家有名的法国餐厅的介绍，比起味道来，它的价格高得令人咂舌，这方面细谷也有所耳闻。细谷的手头并不宽裕，困此，他眼前一黑，不过他可不想再惹清美不高兴了。  positive_prob: 0.241620  confidence: 0.463066  negative_prob: 0.758380  sentiment: 0.000000  
 原文:     “行，不过这个好像要事先预约的。”  positive_prob: 0.507521  confidence: 0.849587  negative_prob: 0.492479  sentiment: 1.000000  
 原文:     “现在打电话预定不就行了吗？”  positive_prob: 0.142976  confidence: 0.682275  negative_prob: 0.857024  sentiment: 0.000000  
 原文:     “好吧。”细谷拿着剪报站起身来，走出店门，用手机给那家法国餐厅打电话预约，他期待着电话那边传来诸如“今天预约已满”这样的回答，不过由于目前经济不最气，他很容易就订到了位子。  positive_prob: 0.243387  confidence: 0.459140  negative_prob: 0.756613  sentiment: 0.000000  
 原文:     回到座位，他向清美做了报告，清美眼睛一亮，莞尔一笑。  positive_prob: 0.687817  confidence: 0.306261  negative_prob: 0.312183  sentiment: 2.000000  
 原文:     “辛苦你了。”  positive_prob: 0.419118  confidence: 0.068626  negative_prob: 0.580882  sentiment: 0.000000  
 原文:     她的心情总算变好了。凝视着她小魔女般的笑脸，细谷端起咖啡，没加糖就啜了一口，心想，这就是迷上一个人的坏处吧。  positive_prob: 0.618424  confidence: 0.152053  negative_prob: 0.381576  sentiment: 2.000000  
 原文:     吃完饭后，清美频繁地看时间。受她影响，细谷也看自己的手表。刚过晚上10点钟。  positive_prob: 0.669978  confidence: 0.266617  negative_prob: 0.330022  sentiment: 2.000000  
 原文:     “还有什么事吗？”细谷问。  positive_prob: 0.216202  confidence: 0.519552  negative_prob: 0.783799  sentiment: 0.000000  
 原文:     “嗯，不好意思，我得马上回去了。”  positive_prob: 0.701525  confidence: 0.336722  negative_prob: 0.298475  sentiment: 2.000000  
